onset	duration	value	trial_type
15.68	10	1	Covert Left
34.715	10	1	Covert Right
55.58625	10	1	Covert Right
78.14125	10	1	Covert Right
98.445	10	1	Covert Left
117.8825	10	1	Covert Left
136.51625	10	1	Covert Left
156.50375	10	1	Covert Right
175.4225	10	1	Covert Left
195.225	10	1	Covert Right
213.9775	10	1	Covert Left
234.415	10	1	Covert Left
254.6175	10	1	Covert Left
276.9575	10	1	Covert Right
295.525	10	1	Covert Left
315.0125	10	1	Covert Right
333.48	10	1	Covert Left
352.93375	10	1	Covert Left
372.785	10	1	Covert Left
392.80625	10	1	Covert Right
412.2425	10	1	Covert Left
430.04375	10	1	Covert Left
448.47875	10	1	Covert Left
467.68125	10	1	Covert Right
486.26625	10	1	Covert Right
505.38375	10	1	Covert Left
523.5875	10	1	Covert Right
542.90625	10	1	Covert Right
562.20875	10	1	Covert Right
582.295	10	1	Covert Right
