onset	duration	value	trial_type
7.8525	10	1	Covert Left
26.2875	10	1	Covert Left
46.79125	10	1	Covert Right
67.37875	10	1	Covert Right
86.2975	10	1	Covert Right
105.41625	10	1	Covert Right
126.18625	10	1	Covert Left
146.27375	10	1	Covert Right
166.2775	10	1	Covert Left
186.915	10	1	Covert Left
206.18375	10	1	Covert Left
225.32375	10	1	Covert Right
263.925	10	1	Covert Left
282.92625	10	1	Covert Left
301.07	10	1	Covert Right
319.5475	10	1	Covert Right
337.55125	10	1	Covert Right
357.7025	10	1	Covert Left
377.1375	10	1	Covert Left
396.6075	10	1	Covert Right
415.84625	10	1	Covert Right
435.22375	10	1	Covert Right
454.3975	10	1	Covert Left
474.00125	10	1	Covert Right
491.635	10	1	Covert Left
510.60375	10	1	Covert Right
529.9075	10	1	Covert Right
550.33625	10	1	Covert Left
568.645	10	1	Covert Right
