onset	duration	value	trial_type	response_correct	gaze_ok	include
25.28875	5	1	Covert Left	1	1	1
43.75	5	1	Covert Left	1	1	1
61.45125	5	1	Covert Left	1	1	1
80.11875	5	1	Covert Left	1	1	1
99.25625	5	1	Covert Left	1	1	1
119.82625	5	1	Covert Right	1	1	1
138.41125	5	1	Covert Left	1	1	1
156.57875	5	1	Covert Right	1	1	1
175.165	5	1	Covert Right	1	1	1
195.61875	5	1	Covert Right	1	1	1
213.4525	5	1	Covert Right	1	1	1
232.505	5	1	Covert Left	1	1	1
251.325	5	1	Covert Right	1	1	1
271.4775	5	1	Covert Right	1	1	1
289.07875	5	1	Covert Left	1	1	1
306.62875	5	1	Covert Right	1	1	1
324.7975	5	1	Covert Left	1	1	1
342.365	5	1	Covert Left	1	1	1
361.0	5	1	Covert Right	1	1	1
378.9675	5	1	Covert Left	1	1	1
396.8525	5	1	Covert Left	1	1	1
416.18875	5	1	Covert Left	1	1	1
436.96	5	1	Covert Right	1	1	1
456.395	5	1	Covert Right	1	1	1
474.64625	5	1	Covert Left	1	1	1
492.2975	5	1	Covert Left	1	1	1
512.0675	5	1	Covert Left	1	1	1
533.55625	5	1	Covert Right	1	1	1
551.54	5	1	Covert Right	1	1	1
570.87625	5	1	Covert Right	1	1	1
