onset	duration	value	trial_type	response_correct	gaze_ok	include
18.3825	5	1	Control Right	n/a	n/a	n/a
35.515	5	1	Control Right	n/a	n/a	n/a
52.41875	5	1	Control Right	n/a	n/a	n/a
70.05625	5	1	Control Right	n/a	n/a	n/a
87.01625	5	1	Control Left	n/a	n/a	n/a
104.51875	5	1	Control Right	n/a	n/a	n/a
121.62	5	1	Control Right	n/a	n/a	n/a
139.52375	5	1	Control Left	n/a	n/a	n/a
157.26875	5	1	Control Right	n/a	n/a	n/a
175.7025	5	1	Control Right	n/a	n/a	n/a
192.27875	5	1	Control Right	n/a	n/a	n/a
209.56375	5	1	Control Left	n/a	n/a	n/a
227.74125	5	1	Control Right	n/a	n/a	n/a
246.16125	5	1	Control Left	n/a	n/a	n/a
262.91625	5	1	Control Left	n/a	n/a	n/a
279.8525	5	1	Control Right	n/a	n/a	n/a
296.54625	5	1	Control Right	n/a	n/a	n/a
313.33625	5	1	Control Left	n/a	n/a	n/a
331.5275	5	1	Control Right	n/a	n/a	n/a
349.60125	5	1	Control Left	n/a	n/a	n/a
