onset	duration	value	trial_type	response_correct	gaze_ok	include
46.0575	5	1	Overtcontrol Right	1	1	1
81.92875	5	1	Overtcontrol Left	1	1	1
116.4125	5	1	Overtcontrol Left	1	1	1
154.8175	5	1	Overtcontrol Right	1	1	1
191.94	5	1	Overtcontrol Left	0	0	0
234.0375	5	1	Overtcontrol Right	1	1	1
271.9375	5	1	Overtcontrol Left	1	1	1
309.24625	5	1	Overtcontrol Left	1	1	1
344.99875	5	1	Overtcontrol Right	1	1	1
381.1025	5	1	Overtcontrol Left	1	0	0
418.16125	5	1	Overtcontrol Left	1	1	1
452.26625	5	1	Overtcontrol Right	1	1	1
487.955	5	1	Overtcontrol Right	1	1	1
525.12125	5	1	Overtcontrol Left	1	1	1
562.31375	5	1	Overtcontrol Right	1	1	1
599.335	5	1	Overtcontrol Left	1	1	1
635.11125	5	1	Overtcontrol Left	1	1	1
670.72	5	1	Overtcontrol Right	1	1	1
708.635	5	1	Overtcontrol Right	1	1	1
747.3025	5	1	Overtcontrol Left	1	0	0
