onset	duration	value	trial_type	response_correct	gaze_ok	include
19.875	5	1	Covert Right	1	1	1
39.07625	5	1	Covert Left	1	1	1
57.6325	5	1	Covert Left	1	0	0
75.7975	5	1	Covert Left	1	1	1
94.50625	5	1	Covert Right	1	1	1
113.65625	5	1	Covert Right	1	1	1
131.04125	5	1	Covert Left	0	1	0
148.28375	5	1	Covert Left	1	1	1
167.99625	5	1	Covert Right	1	1	1
187.28125	5	1	Covert Left	1	1	1
205.7275	5	1	Covert Left	1	1	1
226.35625	5	1	Covert Right	1	1	1
245.75875	5	1	Covert Left	1	0	0
263.80875	5	1	Covert Right	1	1	1
282.64375	5	1	Covert Left	1	1	1
300.31125	5	1	Covert Left	1	1	1
319.64	5	1	Covert Right	1	1	1
339.735	5	1	Covert Left	1	1	1
362.24125	5	1	Covert Left	1	1	1
380.51	5	1	Covert Left	1	1	1
400.1	5	1	Covert Right	1	0	0
419.46125	5	1	Covert Right	1	0	0
437.75375	5	1	Covert Right	1	1	1
456.32875	5	1	Covert Left	1	1	1
475.94	5	1	Covert Left	1	1	1
494.90875	5	1	Covert Right	1	0	0
515.0525	5	1	Covert Right	1	1	1
534.51625	5	1	Covert Right	1	0	0
555.11875	5	1	Covert Left	1	0	0
574.33875	5	1	Covert Right	1	1	1
