onset	duration	value	trial_type	response_correct	gaze_ok	include
17.1225	5	1	overtorient Left	1	1	1
52.54125	5	1	overtorient Left	1	1	1
88.94375	5	1	overtorient Right	1	1	1
126.565	5	1	overtorient Right	1	1	1
163.2025	5	1	overtorient Left	1	1	1
200.83875	5	1	overtorient Left	1	1	1
237.52625	5	1	overtorient Right	1	1	1
273.3625	5	1	overtorient Right	1	1	1
312.53375	5	1	overtorient Left	1	1	1
353.09125	5	1	overtorient Right	1	1	1
388.4425	5	1	overtorient Right	1	1	1
424.2125	5	1	overtorient Left	1	1	1
460.44875	5	1	overtorient Left	0	1	0
503.29	5	1	overtorient Left	1	1	1
540.345	5	1	overtorient Right	1	1	1
576.1975	5	1	overtorient Left	1	1	1
612.01625	5	1	overtorient Left	1	1	1
647.46875	5	1	overtorient Left	0	1	0
686.02375	5	1	overtorient Right	1	1	1
720.9425	5	1	overtorient Right	1	1	1
