onset	duration	value	trial_type	response_correct	gaze_ok	include
31.8175	5	1	overtorient Left	1	1	1
68.92125	5	1	overtorient Right	1	1	1
104.58875	5	1	overtorient Right	1	1	1
140.47625	5	1	overtorient Left	1	1	1
176.8625	5	1	overtorient Left	1	1	1
212.9825	5	1	overtorient Left	1	1	1
247.84875	5	1	overtorient Left	1	1	1
284.9525	5	1	overtorient Right	1	1	1
319.305	5	1	overtorient Right	1	1	1
356.50875	5	1	overtorient Right	1	1	1
392.4275	5	1	overtorient Right	1	1	1
427.78	5	1	overtorient Right	1	1	1
466.25125	5	1	overtorient Left	1	1	1
503.555	5	1	overtorient Left	1	1	1
539.99125	5	1	overtorient Right	1	1	1
575.27625	5	1	overtorient Left	1	1	1
612.98125	5	1	overtorient Right	1	1	1
649.1125	5	1	overtorient Left	1	1	1
684.65	5	1	overtorient Left	1	1	1
723.3625	5	1	overtorient Right	1	1	1
