onset	duration	value	trial_type	response_correct	gaze_ok	include
19.74375	5	1	Overt Right	1	1	1
39.43125	5	1	Overt Right	1	1	1
58.41625	5	1	Overt Left	1	1	1
76.80125	5	1	Overt Right	1	1	1
97.87375	5	1	Overt Left	0	1	0
118.76125	5	1	Overt Left	1	1	1
139.6475	5	1	Overt Right	1	1	1
160.00125	5	1	Overt Left	1	1	1
179.6375	5	1	Overt Left	1	1	1
198.0225	5	1	Overt Right	1	1	1
218.22625	5	1	Overt Left	1	1	1
237.32875	5	1	Overt Right	1	1	1
257.6	5	1	Overt Left	1	1	1
277.51875	5	1	Overt Right	1	1	1
297.205	5	1	Overt Left	1	1	1
316.4075	5	1	Overt Right	1	1	1
336.0275	5	1	Overt Right	1	1	1
356.43125	5	1	Overt Right	1	1	1
377.585	5	1	Overt Right	1	1	1
397.33875	5	1	Overt Right	1	1	1
416.59125	5	1	Overt Left	1	1	1
437.32875	5	1	Overt Right	1	1	1
458.2	5	1	Overt Right	1	1	1
478.33625	5	1	Overt Left	1	1	1
497.48875	5	1	Overt Left	1	1	1
518.6425	5	1	Overt Right	1	1	1
539.86375	5	1	Overt Right	1	1	1
560.135	5	1	Overt Left	1	1	1
578.48625	5	1	Overt Left	1	1	1
598.6575	5	1	Overt Right	1	1	1
