onset	duration	value	trial_type	response_correct	gaze_ok	include
33.7375	5	1	Overt Right	1	1	1
54.39125	5	1	Overt Left	1	1	1
75.22875	5	1	Overt Right	1	1	1
95.61625	5	1	Overt Right	1	1	1
116.08625	5	1	Overt Left	1	1	1
136.3225	5	1	Overt Right	1	1	1
156.5925	5	1	Overt Left	1	1	1
176.4975	5	1	Overt Right	1	1	1
197.2025	5	1	Overt Right	1	1	1
217.57125	5	1	Overt Right	1	1	1
238.9925	5	1	Overt Left	1	1	1
260.11375	5	1	Overt Right	1	1	1
279.2	5	1	Overt Left	1	0	0
300.1575	5	1	Overt Right	1	1	1
319.5025	5	1	Overt Right	1	1	1
359.2825	5	1	Overt Left	1	1	1
379.19125	5	1	Overt Right	1	1	1
398.685	5	1	Overt Right	1	0	0
459.46625	5	1	Overt Right	1	0	0
498.4525	5	1	Overt Right	1	0	0
518.37125	5	1	Overt Right	1	1	1
538.375	5	1	Overt Left	1	0	0
559.39625	5	1	Overt Left	1	1	1
579.14875	5	1	Overt Right	1	0	0
599.1025	5	1	Overt Right	1	1	1
620.32375	5	1	Overt Right	1	0	0
