onset	duration	value	trial_type	response_correct	gaze_ok	include
17.535	5	1	Covert Left	1	n/a	1
36.00125	5	1	Covert Left	1	n/a	1
55.24875	5	1	Covert Right	1	n/a	1
75.06875	5	1	Covert Right	1	n/a	1
94.38375	5	1	Covert Left	1	n/a	1
114.55875	5	1	Covert Right	1	n/a	1
135.1625	5	1	Covert Right	1	n/a	1
156.35	5	1	Covert Right	1	n/a	1
176.17	5	1	Covert Right	1	n/a	1
195.15625	5	1	Covert Right	1	n/a	1
214.775	5	1	Covert Left	1	n/a	1
233.94375	5	1	Covert Left	1	n/a	1
252.24625	5	1	Covert Right	1	n/a	1
271.0475	5	1	Covert Right	1	n/a	1
289.9675	5	1	Covert Right	1	n/a	1
310.805	5	1	Covert Right	1	n/a	1
329.6225	5	1	Covert Right	1	n/a	1
348.65875	5	1	Covert Right	1	n/a	1
367.2275	5	1	Covert Left	1	n/a	1
387.13125	5	1	Covert Right	1	n/a	1
405.94875	5	1	Covert Left	1	n/a	1
426.52	5	1	Covert Right	1	n/a	1
446.19	5	1	Covert Right	1	n/a	1
464.44125	5	1	Covert Right	1	n/a	1
485.74625	5	1	Covert Left	1	n/a	1
506.2325	5	1	Covert Left	1	n/a	1
524.50125	5	1	Covert Right	1	n/a	1
545.03875	5	1	Covert Left	1	n/a	1
565.40875	5	1	Covert Right	1	n/a	1
585.44625	5	1	Covert Left	1	n/a	1
