onset	duration	value	trial_type	response_correct	gaze_ok	include
28.32375	5	1	Covert Left	1	1	1
48.37	5	1	Covert Left	1	1	1
66.62	5	1	Covert Left	1	1	1
86.575	5	1	Covert Right	1	0	0
106.76125	5	1	Covert Left	1	1	1
126.38125	5	1	Covert Right	1	1	1
145.4	5	1	Covert Left	1	0	0
165.52	5	1	Covert Left	0	1	0
184.8725	5	1	Covert Right	1	1	1
204.9925	5	1	Covert Left	0	1	0
224.47875	5	1	Covert Right	1	1	1
244.165	5	1	Covert Left	0	1	0
264.11875	5	1	Covert Right	1	1	1
283.35375	5	1	Covert Right	0	1	0
305.66	5	1	Covert Left	1	1	1
324.54625	5	1	Covert Right	0	1	0
346.7175	5	1	Covert Right	1	1	1
366.2875	5	1	Covert Left	1	1	1
385.99	5	1	Covert Right	0	1	0
404.87625	5	1	Covert Right	1	1	1
424.62875	5	1	Covert Left	0	1	0
443.68	5	1	Covert Right	0	1	0
461.415	5	1	Covert Right	1	1	1
481.93625	5	1	Covert Right	0	1	0
504.525	5	1	Covert Left	1	0	0
522.97625	5	1	Covert Left	0	1	0
542.93	5	1	Covert Left	1	1	1
562.5	5	1	Covert Left	1	1	1
580.735	5	1	Covert Left	1	1	1
599.6875	5	1	Covert Left	1	1	1
