onset	duration	value	trial_type	response_correct	gaze_ok	include
26.66375	5	1	Overt Right	1	1	1
47.5475	5	1	Overt Right	1	1	1
68.935	5	1	Overt Left	1	1	1
89.27125	5	1	Overt Right	1	1	1
111.02625	5	1	Overt Left	1	1	1
132.8475	5	1	Overt Right	1	1	1
152.2675	5	1	Overt Left	1	1	1
171.60375	5	1	Overt Left	1	1	1
192.27375	5	1	Overt Right	1	1	1
213.96625	5	1	Overt Left	1	1	1
234.86625	5	1	Overt Left	1	1	1
255.17125	5	1	Overt Left	1	0	0
278.185	5	1	Overt Right	1	1	1
299.47375	5	1	Overt Right	1	1	1
322.3375	5	1	Overt Left	1	1	1
341.40625	5	1	Overt Left	1	1	1
363.88	5	1	Overt Left	1	1	1
384.55	5	1	Overt Right	0	1	0
406.15375	5	1	Overt Left	1	1	1
425.97375	5	1	Overt Left	1	1	1
448.72625	5	1	Overt Left	1	1	1
469.64375	5	1	Overt Left	1	1	1
491.0725	5	1	Overt Left	1	1	1
514.2972218	5	1	Overt Right	1	1	1
537.520406	5	1	Overt Right	1	1	1
558.9918939	5	1	Overt Left	0	1	0
582.13	5	1	Overt Left	1	1	1
603.41375	5	1	Overt Right	1	1	1
625.09375	5	1	Overt Left	1	1	1
647.595	5	1	Overt Left	1	1	1
