onset	duration	value	trial_type	response_correct	gaze_ok	include
41.895	5	1	Overt Left	1	1	1
64.4	5	1	Overt Left	1	1	1
86.94	5	1	Overt Left	1	1	1
108.47875	5	1	Overt Left	1	1	1
130.13375	5	1	Overt Right	1	1	1
152.155	5	1	Overt Left	1	1	1
173.94375	5	1	Overt Right	1	1	1
196.56625	5	1	Overt Right	1	1	1
219.08875	5	1	Overt Left	1	0	0
242.52875	5	1	Overt Left	1	1	1
265.51875	5	1	Overt Right	0	1	0
284.93875	5	1	Overt Right	1	1	1
306.12625	5	1	Overt Left	1	1	1
328.215	5	1	Overt Left	1	1	1
350.32	5	1	Overt Left	1	1	1
372.50875	5	1	Overt Left	1	1	1
395.81625	5	1	Overt Left	1	1	1
417.655	5	1	Overt Left	1	1	1
437.1075	5	1	Overt Left	0	1	0
464.635	5	1	Overt Left	0	1	0
492.2625	5	1	Overt Left	1	1	1
512.59875	5	1	Overt Right	1	1	1
533.2375	5	1	Overt Right	1	1	1
556.07625	5	1	Overt Left	1	1	1
576.9975	5	1	Overt Left	0	1	0
597.55125	5	1	Overt Left	0	1	0
620.24375	5	1	Overt Left	1	1	1
640.8775	5	1	Overt Right	1	1	1
662.85	5	1	Overt Left	1	1	1
684.22125	5	1	Overt Left	1	1	1
