onset	duration	value	trial_type	response_correct	gaze_ok	include
9.28625	5	1	Control Right	n/a	1	1
26.3925	5	1	Control Left	n/a	1	1
44.45375	5	1	Control Left	n/a	1	1
61.29375	5	1	Control Left	n/a	1	1
78.54375	5	1	Control Left	n/a	1	1
96.39875	5	1	Control Left	n/a	1	1
114.59375	5	1	Control Left	n/a	1	1
131.25125	5	1	Control Left	n/a	1	1
148.71375	5	1	Control Left	n/a	1	1
165.645	5	1	Control Left	n/a	1	1
183.67875	5	1	Control Left	n/a	1	1
201.34875	5	1	Control Left	n/a	1	1
217.93125	5	1	Control Left	n/a	1	1
234.37375	5	1	Control Right	n/a	1	1
250.9975	5	1	Control Right	n/a	1	1
268.05125	5	1	Control Right	n/a	1	1
284.8925	5	1	Control Left	n/a	1	1
303.29875	5	1	Control Left	n/a	1	1
319.85875	5	1	Control Right	n/a	1	1
336.8175	5	1	Control Left	n/a	1	1
