onset	duration	value	trial_type	response_correct	gaze_ok	include
9.98875	5	1	Overt Right	1	1	1
29.4975	5	1	Overt Left	1	1	1
49.57375	5	1	Overt Right	1	1	1
69.63875	5	1	Overt Left	1	1	1
89.22625	5	1	Overt Right	1	1	1
109.8275	5	1	Overt Left	1	1	1
129.90625	5	1	Overt Right	1	1	1
150.55625	5	1	Overt Left	1	1	1
169.4225	5	1	Overt Left	1	1	1
188.95875	5	1	Overt Right	1	1	1
209.935	5	1	Overt Left	1	1	1
229.5325	5	1	Overt Left	1	0	0
248.76	5	1	Overt Right	1	1	1
268.11	5	1	Overt Right	1	0	0
288.12625	5	1	Overt Left	1	1	1
306.7525	5	1	Overt Left	1	1	1
326.2975	5	1	Overt Left	1	1	1
347.46125	5	1	Overt Right	1	1	1
368.6175	5	1	Overt Right	1	1	1
388.89375	5	1	Overt Left	1	1	1
409.80125	5	1	Overt Right	1	1	1
430.00125	5	1	Overt Right	1	1	1
450.44	5	1	Overt Right	1	1	1
470.69375	5	1	Overt Left	1	1	1
489.62125	5	1	Overt Left	1	1	1
508.6325	5	1	Overt Left	1	1	1
528.335	5	1	Overt Left	1	1	1
547.4025	5	1	Overt Right	1	1	1
567.47375	5	1	Overt Right	1	1	1
589.20375	5	1	Overt Right	1	1	1
