onset	duration	value	trial_type	response_correct	gaze_ok	include
27.71	5	1	overtorient Right	1	1	1
64.32875	5	1	overtorient Left	1	1	1
98.47875	5	1	overtorient Left	1	1	1
136.26625	5	1	overtorient Right	1	1	1
173.07	5	1	overtorient Left	0	1	0
216.3125	5	1	overtorient Right	1	1	1
253.4	5	1	overtorient Left	1	1	1
291.80625	5	1	overtorient Left	1	1	1
326.79125	5	1	overtorient Right	1	1	1
363.69375	5	1	overtorient Left	1	1	1
398.89625	5	1	overtorient Left	1	1	1
434.74875	5	1	overtorient Right	1	1	1
470.53375	5	1	overtorient Right	1	1	1
506.65375	5	1	overtorient Left	1	1	1
544.575	5	1	overtorient Right	1	1	1
580.1925	5	1	overtorient Left	1	1	1
616.78	5	1	overtorient Left	1	1	1
652.5825	5	1	overtorient Right	1	1	1
691.1375	5	1	overtorient Right	1	1	1
729.20875	5	1	overtorient Left	1	1	1
