onset	duration	value	trial_type	response_correct	gaze_ok	include
31.76625	5	1	Overtcontrol Left	1	1	1
67.06625	5	1	Overtcontrol Left	1	1	1
104.9225	5	1	Overtcontrol Right	1	1	1
140.54125	5	1	Overtcontrol Left	1	1	1
175.145	5	1	Overtcontrol Right	1	1	1
210.055	5	1	Overtcontrol Right	1	1	1
245.9625	5	1	Overtcontrol Left	1	1	1
283.83	5	1	Overtcontrol Left	1	1	1
319.905	5	1	Overtcontrol Left	1	1	1
357.10625	5	1	Overtcontrol Left	1	0	0
394.29125	5	1	Overtcontrol Left	1	1	1
428.5425	5	1	Overtcontrol Left	1	1	1
463.61875	5	1	Overtcontrol Right	0	1	0
502.4175	5	1	Overtcontrol Right	1	1	1
540.03875	5	1	Overtcontrol Right	1	1	1
575.24625	5	1	Overtcontrol Left	1	1	1
609.5525	5	1	Overtcontrol Right	1	1	1
646.2	5	1	Overtcontrol Right	1	1	1
681.43625	5	1	Overtcontrol Right	1	1	1
719.47	5	1	Overtcontrol Left	1	1	1
