onset	duration	value	trial_type	response_correct	gaze_ok	include
12.19625	5	1	overtorient Left	1	1	1
46.3125	5	1	overtorient Right	1	1	1
80.9975	5	1	overtorient Right	1	1	1
115.94875	5	1	overtorient Right	1	1	1
151.81875	5	1	overtorient Right	1	1	1
189.18875	5	1	overtorient Left	1	1	1
225.54125	5	1	overtorient Left	1	1	1
262.87875	5	1	overtorient Left	1	1	1
297.43	5	1	overtorient Left	1	1	1
332.58125	5	1	overtorient Left	1	1	1
367.96625	5	1	overtorient Left	1	1	1
404.7375	5	1	overtorient Right	1	1	1
441.19	5	1	overtorient Right	1	1	1
475.80875	5	1	overtorient Right	1	1	1
512.1775	5	1	overtorient Left	1	1	1
548.51375	5	1	overtorient Right	1	1	1
583.4325	5	1	overtorient Right	1	1	1
618.63375	5	1	overtorient Left	1	1	1
653.23625	5	1	overtorient Left	1	1	1
688.67	5	1	overtorient Left	1	1	1
