onset	duration	value	trial_type	response_correct	gaze_ok	include
24.36	5	1	overtorient Right	1	1	1
59.17875	5	1	overtorient Right	1	1	1
94.78	5	1	overtorient Left	1	1	1
131.08375	5	1	overtorient Right	1	1	1
165.6175	5	1	overtorient Left	1	1	1
200.72	5	1	overtorient Right	1	1	1
235.7875	5	1	overtorient Right	1	1	1
270.55625	5	1	overtorient Right	1	1	1
306.025	5	1	overtorient Right	1	1	1
342.46125	5	1	overtorient Right	1	1	1
378.23	5	1	overtorient Left	1	1	1
414.01625	5	1	overtorient Right	1	1	1
451.28625	5	1	overtorient Right	1	1	1
484.82	5	1	overtorient Left	1	1	1
520.9225	5	1	overtorient Right	1	1	1
558.0775	5	1	overtorient Right	1	1	1
595.115	5	1	overtorient Right	1	1	1
630.1825	5	1	overtorient Left	1	1	1
665.28375	5	1	overtorient Left	1	1	1
700.87	5	1	overtorient Left	1	1	1
