onset	duration	value	trial_type	response_correct	gaze_ok	include
10.2725	5	1	Control Left	n/a	1	1
27.2625	5	1	Control Right	n/a	1	1
43.9675	5	1	Control Right	n/a	1	1
60.99125	5	1	Control Right	n/a	1	1
79.15125	5	1	Control Left	n/a	1	1
96.195	5	1	Control Left	n/a	1	1
113.2425	5	1	Control Right	n/a	1	1
131.57875	5	1	Control Right	n/a	1	1
149.92125	5	1	Control Right	n/a	1	1
167.7675	5	1	Control Left	n/a	1	1
184.42875	5	1	Control Right	n/a	1	1
201.115	5	1	Control Right	n/a	1	1
217.70375	5	1	Control Right	n/a	1	1
234.8625	5	1	Control Right	n/a	1	1
252.53625	5	1	Control Right	n/a	1	1
269.74375	5	1	Control Right	n/a	1	1
287.535	5	1	Control Left	n/a	1	1
304.40875	5	1	Control Left	n/a	1	1
322.65625	5	1	Control Right	n/a	1	1
341.03875	5	1	Control Right	n/a	1	1
