onset	duration	value	trial_type	response_correct	gaze_ok	include
25.79375	5	1	Overt Left	0	n/a	0
50.81875	5	1	Overt Left	1	n/a	1
74.37625	5	1	Overt Left	1	n/a	1
97.2825	5	1	Overt Left	1	n/a	1
122.2575	5	1	Overt Left	1	n/a	1
145.64625	5	1	Overt Left	1	n/a	1
170.17125	5	1	Overt Left	1	n/a	1
194.88	5	1	Overt Left	1	n/a	1
218.57	5	1	Overt Right	1	n/a	1
240.40875	5	1	Overt Left	1	n/a	1
265.01625	5	1	Overt Right	1	n/a	1
289.32375	5	1	Overt Left	1	n/a	1
311.71375	5	1	Overt Left	1	n/a	1
334.685	5	1	Overt Right	1	n/a	1
358.32625	5	1	Overt Left	1	n/a	1
381.2825	5	1	Overt Left	1	n/a	1
407.325	5	1	Overt Right	1	n/a	1
432.05	5	1	Overt Right	1	n/a	1
453.8875	5	1	Overt Right	1	n/a	1
477.11125	5	1	Overt Left	1	n/a	1
499.8675	5	1	Overt Left	1	n/a	1
524.82625	5	1	Overt Left	1	n/a	1
551.98625	5	1	Overt Right	1	n/a	1
574.7425	5	1	Overt Left	1	n/a	1
599.35	5	1	Overt Left	1	n/a	1
623.14125	5	1	Overt Right	1	n/a	1
646.41375	5	1	Overt Right	1	n/a	1
669.6375	5	1	Overt Left	1	n/a	1
693.31125	5	1	Overt Right	1	n/a	1
715.53375	5	1	Overt Left	1	n/a	1
