onset	duration	value	trial_type	response_correct	gaze_ok	include
21.34875	5	1	Control Right	n/a	1	1
38.82625	5	1	Control Right	n/a	1	1
56.02625	5	1	Control Right	n/a	1	1
73.74125	5	1	Control Right	n/a	1	1
91.77875	5	1	Control Left	n/a	1	1
109.895	5	1	Control Left	n/a	1	1
127.86	5	1	Control Left	n/a	1	1
144.66625	5	1	Control Left	n/a	1	1
163.09875	5	1	Control Right	n/a	1	1
179.6325	5	1	Control Left	n/a	1	1
196.18375	5	1	Control Right	n/a	1	1
214.5	5	1	Control Right	n/a	1	1
232.2375	5	1	Control Left	n/a	1	1
249.37	5	1	Control Left	n/a	1	1
266.52125	5	1	Control Left	n/a	1	1
284.875	5	1	Control Right	n/a	1	1
303.03875	5	1	Control Left	n/a	1	1
320.8825	5	1	Control Left	n/a	1	1
338.69125	5	1	Control Left	n/a	1	1
356.75	5	1	Control Right	n/a	1	1
