onset	duration	value	trial_type	response_correct	gaze_ok	include
38.255	5	1	overtorient Left	1	1	1
76.00875	5	1	overtorient Left	1	1	1
113.48	5	1	overtorient Right	1	1	1
150.3825	5	1	overtorient Right	1	1	1
186.93625	5	1	overtorient Left	1	1	1
225.09125	5	1	overtorient Left	1	1	1
260.9775	5	1	overtorient Right	1	1	1
298.715	5	1	overtorient Left	1	1	1
334.75	5	1	overtorient Left	1	1	1
369.93625	5	1	overtorient Right	1	1	1
407.42375	5	1	overtorient Left	1	1	1
443.84375	5	1	overtorient Left	1	1	1
480.7125	5	1	overtorient Right	1	1	1
516.59875	5	1	overtorient Right	1	1	1
553.76875	5	1	overtorient Left	1	1	1
589.9225	5	1	overtorient Right	1	1	1
625.04125	5	1	overtorient Left	1	1	1
659.60875	5	1	overtorient Left	1	1	1
696.9125	5	1	overtorient Left	1	1	1
732.83125	5	1	overtorient Left	1	1	1
