onset	duration	value	trial_type	response_correct	gaze_ok	include
11.2675	5	1	Overt Left	1	1	1
32.74625	5	1	Overt Right	1	1	1
53.39125	5	1	Overt Right	1	1	1
74.51125	5	1	Overt Left	1	1	1
95.77125	5	1	Overt Right	1	1	1
118.8225	5	1	Overt Left	1	1	1
138.88375	5	1	Overt Right	1	1	1
159.41375	5	1	Overt Left	1	1	1
178.8025	5	1	Overt Right	1	1	1
199.78	5	1	Overt Left	1	1	1
220.87875	5	1	Overt Right	1	1	1
241.41375	5	1	Overt Left	1	1	1
261.27	5	1	Overt Left	1	1	1
282.355	5	1	Overt Right	1	1	1
304.0	5	1	Overt Right	1	1	1
324.98	5	1	Overt Right	1	1	1
344.03375	5	1	Overt Right	1	1	1
364.10375	5	1	Overt Left	1	1	1
383.70625	5	1	Overt Right	1	1	1
405.3525	5	1	Overt Right	1	1	1
425.91	5	1	Overt Right	1	0	0
446.05375	5	1	Overt Left	1	1	1
465.87375	5	1	Overt Left	1	0	0
486.49	5	1	Overt Left	1	0	0
507.43125	5	1	Overt Left	1	1	1
527.3425	5	1	Overt Left	1	1	1
547.99125	5	1	Overt Right	1	1	1
568.00375	5	1	Overt Left	1	1	1
586.43625	5	1	Overt Left	1	1	1
606.33125	5	1	Overt Left	1	0	0
