onset	duration	amplitude	trial_type
17.5375	10	1	Overt Right
36.35	10	1	Overt Left
55.335	10	1	Overt Left
73.0025	10	1	Overt Left
91.73875	10	1	Overt Left
110.4725	10	1	Overt Left
129.0425	10	1	Overt Left
147.41	10	1	Overt Right
165.695	10	1	Overt Left
184.63125	10	1	Overt Left
204.2	10	1	Overt Right
223.37	10	1	Overt Left
242.12125	10	1	Overt Left
259.43875	10	1	Overt Left
279.70875	10	1	Overt Right
298.295	10	1	Overt Right
317.38	10	1	Overt Right
335.065	10	1	Overt Left
354.15	10	1	Overt Right
373.90375	10	1	Overt Left
391.02	10	1	Overt Left
410.04	10	1	Overt Right
428.4575	10	1	Overt Left
446.2425	10	1	Overt Left
464.86	10	1	Overt Left
482.0775	10	1	Overt Right
500.47875	10	1	Overt Right
517.6125	10	1	Overt Left
536.34875	10	1	Overt Left
553.79875	10	1	Overt Right
