onset	duration	value	trial_type
8.37125	10	1	Covert Right
27.4725	10	1	Covert Left
49.17875	10	1	Covert Left
70.0325	10	1	Covert Left
90.335	10	1	Covert Left
109.605	10	1	Covert Right
128.4575	10	1	Covert Right
147.6425	10	1	Covert Left
166.42875	10	1	Covert Right
186.59875	10	1	Covert Right
207.1525	10	1	Covert Right
226.88875	10	1	Covert Right
248.46	10	1	Covert Right
269.0975	10	1	Covert Left
289.15125	10	1	Covert Right
308.20375	10	1	Covert Right
327.2725	10	1	Covert Left
346.025	10	1	Covert Left
365.54375	10	1	Covert Left
384.84625	10	1	Covert Right
402.89875	10	1	Covert Right
421.9675	10	1	Covert Right
441.13625	10	1	Covert Left
460.98875	10	1	Covert Left
481.2425	10	1	Covert Right
499.5775	10	1	Covert Right
518.83	10	1	Covert Right
538	10	1	Covert Right
557.26875	10	1	Covert Left
