onset	duration	value	trial_type	response_correct	gaze_ok	include
21.7975	5	1	Covert Right	1	1	1
40.98625	5	1	Covert Left	1	1	1
60.60875	5	1	Covert Right	1	1	1
79.89125	5	1	Covert Left	1	1	1
98.74375	5	1	Covert Right	1	1	1
117.76375	5	1	Covert Right	1	1	1
135.9225	5	1	Covert Left	1	1	1
154.7075	5	1	Covert Right	1	1	1
175.45375	5	1	Covert Left	1	1	1
194.7	5	1	Covert Left	1	1	1
212.43625	5	1	Covert Left	1	1	1
232.34375	5	1	Covert Right	1	1	1
252.40125	5	1	Covert Right	1	1	1
271.3675	5	1	Covert Right	1	1	1
289.98625	5	1	Covert Left	1	1	1
309.005	5	1	Covert Right	1	1	1
328.12	5	1	Covert Right	1	1	1
348.14625	5	1	Covert Left	1	1	1
367.865	5	1	Covert Right	1	1	1
387.8175	5	1	Covert Left	1	1	1
406.87125	5	1	Covert Right	1	1	1
425.41625	5	1	Covert Right	1	1	1
444.55875	5	1	Covert Right	1	1	1
463.41375	5	1	Covert Left	1	1	1
481.68	5	1	Covert Right	1	1	1
500.23125	5	1	Covert Right	1	1	1
519.84125	5	1	Covert Right	1	1	1
539.21375	5	1	Covert Left	1	1	1
558.49	5	1	Covert Left	1	1	1
578.57625	5	1	Covert Left	1	0	0
