onset	duration	value	trial_type	response_correct	gaze_ok	include
20.36875	5	1	Covert Right	1	1	1
38.705	5	1	Covert Right	1	0	0
57.35375	5	1	Covert Right	1	0	0
75.71	5	1	Covert Left	1	1	1
96.15875	5	1	Covert Right	1	0	0
114.3025	5	1	Covert Right	1	1	1
133.81375	5	1	Covert Left	1	1	1
153.7675	5	1	Covert Left	1	1	1
173.68875	5	1	Covert Left	1	1	1
191.68875	5	1	Covert Left	1	1	1
211.5425	5	1	Covert Right	1	1	1
230.79625	5	1	Covert Left	1	1	1
248.9175	5	1	Covert Right	1	1	1
267.3325	5	1	Covert Left	1	1	1
288.115	5	1	Covert Right	1	1	1
308.49125	5	1	Covert Left	1	1	1
326.6925	5	1	Covert Right	1	1	1
344.345	5	1	Covert Left	1	1	1
363.36375	5	1	Covert Right	1	1	1
382.64875	5	1	Covert Left	1	1	1
400.685	5	1	Covert Right	1	1	1
420.3225	5	1	Covert Left	1	1	1
438.405	5	1	Covert Left	1	1	1
456.66	5	1	Covert Right	1	1	1
477.01125	5	1	Covert Left	1	1	1
495.1325	5	1	Covert Right	1	1	1
514.44875	5	1	Covert Right	1	1	1
533.49125	5	1	Covert Left	1	1	1
551.1025	5	1	Covert Right	1	1	1
572.07375	5	1	Covert Left	1	1	1
