onset	duration	value	trial_type	response_correct	gaze_ok	include
21.3025	5	1	Covert Right	1	1	1
40.61375	5	1	Covert Left	1	1	1
59.94125	5	1	Covert Left	1	1	1
79.53625	5	1	Covert Left	1	1	1
98.12125	5	1	Covert Left	1	1	1
116.2225	5	1	Covert Right	1	1	1
134.79125	5	1	Covert Left	1	1	1
152.3925	5	1	Covert Right	1	1	1
169.97625	5	1	Covert Right	1	1	1
188.045	5	1	Covert Right	1	1	1
207.2475	5	1	Covert Left	1	1	1
226.3	5	1	Covert Left	1	1	1
244.085	5	1	Covert Left	1	1	1
261.635	5	1	Covert Left	1	1	1
280.02	5	1	Covert Left	1	1	1
298.4225	5	1	Covert Left	1	1	1
317.1075	5	1	Covert Left	1	1	1
336.62625	5	1	Covert Left	1	1	1
355.17875	5	1	Covert Right	1	1	1
373.765	5	1	Covert Left	1	1	1
392.465	5	1	Covert Right	1	1	1
410.5	5	1	Covert Right	1	1	1
430.40375	5	1	Covert Left	1	1	1
448.70625	5	1	Covert Right	1	1	1
467.7575	5	1	Covert Right	1	1	1
486.99375	5	1	Covert Right	1	1	1
505.595	5	1	Covert Left	1	1	1
522.89625	5	1	Covert Left	1	1	1
542.36625	5	1	Covert Left	1	1	1
560.685	5	1	Covert Left	1	1	1
