onset	duration	value	trial_type
32.88625	10	1	Overt Left
54.47375	10	1	Overt Right
74.19375	10	1	Overt Right
93.1125	10	1	Overt Left
113.0825	10	1	Overt Right
133.7525	10	1	Overt Left
153.82375	10	1	Overt Left
173.425	10	1	Overt Left
191.89375	10	1	Overt Left
210.69625	10	1	Overt Left
229.89875	10	1	Overt Right
251.47125	10	1	Overt Left
272.09125	10	1	Overt Right
292.32875	10	1	Overt Right
312.11375	10	1	Overt Left
332.20125	10	1	Overt Left
352.47125	10	1	Overt Right
371.89125	10	1	Overt Right
390.3425	10	1	Overt Left
409.645	10	1	Overt Left
429.415	10	1	Overt Right
450.62	10	1	Overt Left
469.62125	10	1	Overt Left
488.52375	10	1	Overt Left
508.09375	10	1	Overt Left
527.89625	10	1	Overt Left
547.93375	10	1	Overt Right
566.46875	10	1	Overt Right
584.6875	10	1	Overt Right
605.14125	10	1	Overt Left
