onset	duration	value	trial_type
23.5075	10	1	Covert Right
40.89125	10	1	Covert Left
204.22875	10	1	Covert Left
295.95	10	1	Covert Right
314.4425	10	1	Covert Right
332.895	10	1	Covert Right
351.46	10	1	Covert Left
386.98625	10	1	Covert Right
404.655	10	1	Covert Right
422.15625	10	1	Covert Right
440.9575	10	1	Covert Right
460.39375	10	1	Covert Right
479.42875	10	1	Covert Right
498.64875	10	1	Covert Right
516.39875	10	1	Covert Right
533.68375	10	1	Covert Left
552.6025	10	1	Covert Left
332.8604531	10	1	Covert Right
351.4624689	10	1	Covert Right
369.5640851	10	1	Covert Right
387.0648995	10	1	Covert Left
404.7326402	10	1	Covert Right
422.2334824	10	1	Covert Left
441.035904	10	1	Covert Right
460.4720186	10	1	Covert Right
479.5078739	10	1	Covert Left
498.7273016	10	1	Covert Right
516.4782571	10	1	Covert Right
533.7623902	10	1	Covert Right
552.6812364	10	1	Covert Left
