onset	duration	value	trial_type
18.9	10	1	Overt Right
38.44	10	1	Overt Right
57.655	10	1	Overt Right
77.64125	10	1	Overt Left
98.56125	10	1	Overt Right
119.1825	10	1	Overt Left
139.23625	10	1	Overt Right
158.85625	10	1	Overt Right
179.55875	10	1	Overt Right
202.74875	10	1	Overt Left
223.38625	10	1	Overt Left
242.43875	10	1	Overt Left
263.37625	10	1	Overt Left
282.31375	10	1	Overt Right
302.46625	10	1	Overt Left
322.0675	10	1	Overt Right
341.42125	10	1	Overt Right
360.5225	10	1	Overt Left
382.99625	10	1	Overt Left
403.51625	10	1	Overt Right
424.755	10	1	Overt Right
444.49	10	1	Overt Left
463.82625	10	1	Overt Left
482.94625	10	1	Overt Left
501.74875	10	1	Overt Right
520.98375	10	1	Overt Left
541.1375	10	1	Overt Right
560.14	10	1	Overt Right
579.55875	10	1	Overt Left
599.88	10	1	Overt Right
