onset	duration	value	trial_type
27.77625	10	1	Covert Right
46.32	10	1	Covert Right
65.22625	10	1	Covert Left
84.42875	10	1	Covert Left
103.13125	10	1	Covert Right
124.46125	10	1	Covert Right
142.24	10	1	Covert Left
161.75625	10	1	Covert Left
179.52375	10	1	Covert Right
197.72125	10	1	Covert Right
215.23875	10	1	Covert Right
233.9075	10	1	Covert Left
251.29125	10	1	Covert Right
269.2275	10	1	Covert Right
287.3775	10	1	Covert Left
306.1175	10	1	Covert Left
324.965	10	1	Covert Left
343.4175	10	1	Covert Left
361.23375	10	1	Covert Right
378.635	10	1	Covert Right
397.205	10	1	Covert Left
416.27375	10	1	Covert Left
435.89375	10	1	Covert Right
453.51	10	1	Covert Left
472.14625	10	1	Covert Left
490.33	10	1	Covert Left
509.1325	10	1	Covert Right
526.4	10	1	Covert Left
545.50125	10	1	Covert Left
563.30375	10	1	Covert Left
