onset	duration	value	trial_type	response_correct	gaze_ok	include
16.8125	5	1	Overt Left	1	1	1
36.6475	5	1	Overt Right	1	1	1
57.56875	5	1	Overt Right	1	1	1
77.78875	5	1	Overt Left	1	1	1
98.99375	5	1	Overt Right	1	1	1
120.79875	5	1	Overt Left	1	1	1
142.33625	5	1	Overt Right	1	1	1
164.02625	5	1	Overt Left	1	1	1
184.34625	5	1	Overt Right	1	1	1
206.05	5	1	Overt Right	1	1	1
225.72	5	1	Overt Left	1	1	1
248.12625	5	1	Overt Left	1	1	1
268.76375	5	1	Overt Right	1	1	1
289.1825	5	1	Overt Left	1	1	1
310.37125	5	1	Overt Left	1	1	1
331.45875	5	1	Overt Right	1	1	1
352.2975	5	1	Overt Right	1	1	1
374.1025	5	1	Overt Left	1	1	1
394.40625	5	1	Overt Right	1	1	1
414.5925	5	1	Overt Left	1	1	1
436.24625	5	1	Overt Right	1	1	1
458.43625	5	1	Overt Right	1	1	1
478.65625	5	1	Overt Right	1	1	1
499.12625	5	1	Overt Left	1	1	1
518.79625	5	1	Overt Right	1	1	1
537.9325	5	1	Overt Right	1	0	0
560.7875	5	1	Overt Left	1	1	1
581.0425	5	1	Overt Left	1	1	1
602.19625	5	1	Overt Left	1	1	1
624.785	5	1	Overt Right	1	1	1
