onset	duration	value	trial_type	response_correct	gaze_ok	include
7.815	5	1	Overt Right	1	1	1
27.75	5	1	Overt Left	1	0	0
49.37875	5	1	Overt Right	1	1	1
71.31875	5	1	Overt Left	1	1	1
90.45875	5	1	Overt Right	1	1	1
110.05375	5	1	Overt Left	1	0	0
131.02625	5	1	Overt Left	1	1	1
150.79875	5	1	Overt Right	1	1	1
170.67125	5	1	Overt Left	1	1	1
191.31875	5	1	Overt Right	1	1	1
212.0975	5	1	Overt Left	1	1	1
231.81375	5	1	Overt Right	1	1	1
254.48375	5	1	Overt Left	1	1	1
273.9875	5	1	Overt Right	1	1	1
294.0725	5	1	Overt Right	1	1	1
315.32875	5	1	Overt Left	1	1	1
335.63875	5	1	Overt Left	1	1	1
355.76375	5	1	Overt Right	1	1	1
376.0725	5	1	Overt Left	1	1	1
396.5425	5	1	Overt Left	1	1	1
415.60125	5	1	Overt Left	1	1	1
436.38375	5	1	Overt Left	1	1	1
455.3525	5	1	Overt Right	1	1	1
475.325	5	1	Overt Left	1	1	1
494.5425	5	1	Overt Left	1	1	1
513.4625	5	1	Overt Left	1	1	1
535.98625	5	1	Overt Right	1	1	1
556.1625	5	1	Overt Left	1	1	1
577.1175	5	1	Overt Left	1	1	1
597.91375	5	1	Overt Left	1	1	1
