onset	duration	value	trial_type	response_correct	gaze_ok	include
7.6425	5	1	Covert Left	1	0	0
28.275	5	1	Covert Right	1	0	0
47.63125	5	1	Covert Left	1	1	1
67.1375	5	1	Covert Left	1	1	1
87.1125	5	1	Covert Left	1	1	1
105.32125	5	1	Covert Left	1	1	1
124.95375	5	1	Covert Left	1	1	1
145.61375	5	1	Covert Right	1	1	1
164.52875	5	1	Covert Right	1	1	1
185.2025	5	1	Covert Left	1	1	1
205.30375	5	1	Covert Right	1	0	0
225.71625	5	1	Covert Left	1	1	1
244.71375	5	1	Covert Left	1	1	1
264.19875	5	1	Covert Right	1	1	1
286.7625	5	1	Covert Left	1	1	1
306.4525	5	1	Covert Left	1	1	1
325.83125	5	1	Covert Right	1	1	1
344.94875	5	1	Covert Left	1	1	1
362.60375	5	1	Covert Right	1	1	1
381.0025	5	1	Covert Right	1	1	1
401.19625	5	1	Covert Left	1	1	1
419.295	5	1	Covert Right	1	1	1
438.495	5	1	Covert Right	1	1	1
456.17	5	1	Covert Right	0	1	0
473.64125	5	1	Covert Right	1	1	1
493.73	5	1	Covert Left	1	1	1
514.27125	5	1	Covert Left	1	1	1
534.0675	5	1	Covert Right	1	1	1
553.17125	5	1	Covert Left	1	1	1
571.435	5	1	Covert Right	1	1	1
