onset	duration	value	trial_type	response_correct	gaze_ok	include
31.97375	5	1	Overtcontrol Right	1	1	1
68.6225	5	1	Overtcontrol Right	1	1	1
103.95	5	1	Overtcontrol Right	1	1	1
141.66875	5	1	Overtcontrol Left	1	1	1
178.05125	5	1	Overtcontrol Right	1	1	1
214.9275	5	1	Overtcontrol Left	1	1	1
252.6275	5	1	Overtcontrol Left	1	1	1
288.67625	5	1	Overtcontrol Right	1	1	1
323.8925	5	1	Overtcontrol Right	1	1	1
359.58875	5	1	Overtcontrol Right	1	1	1
394.61375	5	1	Overtcontrol Left	1	1	1
431.34375	5	1	Overtcontrol Left	1	1	1
468.81875	5	1	Overtcontrol Right	1	1	1
504.875	5	1	Overtcontrol Right	1	1	1
540.6825	5	1	Overtcontrol Right	1	1	1
578.23625	5	1	Overtcontrol Right	1	1	1
615.67875	5	1	Overtcontrol Right	1	1	1
651.925	5	1	Overtcontrol Left	1	1	1
690.04375	5	1	Overtcontrol Right	1	1	1
725.3025	5	1	Overtcontrol Left	1	1	1
