onset	duration	value	trial_type	response_correct	gaze_ok	include
11.5825	5	1	Control Right	n/a	1	1
28.07625	5	1	Control Right	n/a	1	1
45.81875	5	1	Control Right	n/a	1	1
62.4525	5	1	Control Left	n/a	1	1
80.09625	5	1	Control Right	n/a	1	1
96.77125	5	1	Control Right	n/a	1	1
114.79125	5	1	Control Left	n/a	1	1
132.09125	5	1	Control Right	n/a	1	1
150.47875	5	1	Control Right	n/a	1	1
168.63125	5	1	Control Right	n/a	1	1
186.6375	5	1	Control Right	n/a	1	1
203.18625	5	1	Control Right	n/a	1	1
221.29	5	1	Control Left	n/a	1	1
239.72625	5	1	Control Right	n/a	1	1
257.585	5	1	Control Right	n/a	1	1
274.375	5	1	Control Left	n/a	1	1
292.715	5	1	Control Right	n/a	1	1
310.05375	5	1	Control Left	n/a	1	1
326.76375	5	1	Control Right	n/a	1	1
345.03625	5	1	Control Left	n/a	1	1
