onset	duration	value	trial_type	response_correct	gaze_ok	include
21.0375	5	1	Control Left	n/a	0	0
39.4525	5	1	Control Right	n/a	1	1
56.205	5	1	Control Left	n/a	1	1
74.56875	5	1	Control Left	n/a	1	1
91.7575	5	1	Control Right	n/a	1	1
109.90875	5	1	Control Left	n/a	1	1
127.57	5	1	Control Right	n/a	1	1
144.26	5	1	Control Left	n/a	1	1
162.64625	5	1	Control Right	n/a	1	1
180.82125	5	1	Control Left	n/a	1	1
198.94375	5	1	Control Left	n/a	1	1
217.35125	5	1	Control Right	n/a	1	1
234.96375	5	1	Control Left	n/a	1	1
252.94	5	1	Control Left	n/a	1	1
270.26125	5	1	Control Right	n/a	0	0
288.4125	5	1	Control Left	n/a	1	1
304.865	5	1	Control Left	n/a	1	1
321.70375	5	1	Control Left	n/a	1	1
339.30125	5	1	Control Right	n/a	1	1
355.81125	5	1	Control Right	n/a	1	1
