onset	duration	value	trial_type	response_correct	gaze_ok	include
17.545	5	1	Covert Left	1	n/a	1
40.9775	5	1	Covert Right	1	n/a	1
59.7125	5	1	Covert Left	1	n/a	1
79.16625	5	1	Covert Left	1	n/a	1
99.02	5	1	Covert Right	1	n/a	1
118.50625	5	1	Covert Left	1	n/a	1
137.34125	5	1	Covert Right	1	n/a	1
156.22625	5	1	Covert Right	1	n/a	1
180.26375	5	1	Covert Left	1	n/a	1
199.2075	5	1	Covert Left	1	n/a	1
218.6675	5	1	Covert Right	1	n/a	1
239.3275	5	1	Covert Left	1	n/a	1
261.0	5	1	Covert Left	1	n/a	1
280.0525	5	1	Covert Left	1	n/a	1
300.19375	5	1	Covert Right	1	n/a	1
319.71	5	1	Covert Left	1	n/a	1
341.4325	5	1	Covert Right	1	n/a	1
360.90125	5	1	Covert Right	1	n/a	1
378.46875	5	1	Covert Left	1	n/a	1
397.10375	5	1	Covert Right	1	n/a	1
416.62375	5	1	Covert Right	1	n/a	1
436.94875	5	1	Covert Right	1	n/a	1
457.25	5	1	Covert Right	1	n/a	1
475.06625	5	1	Covert Right	1	n/a	1
495.44375	5	1	Covert Left	1	n/a	1
513.3225	5	1	Covert Left	1	n/a	1
533.4925	5	1	Covert Right	1	n/a	1
553.86875	5	1	Covert Right	1	n/a	1
574.605	5	1	Covert Right	1	n/a	1
594.17375	5	1	Covert Left	1	n/a	1
