onset	duration	value	trial_type	response_correct	gaze_ok	include
25.61	5	1	Covert Right	1	1	1
43.3875	5	1	Covert Left	1	1	1
63.8575	5	1	Covert Right	1	1	1
82.81125	5	1	Covert Right	1	1	1
102.43	5	1	Covert Left	1	1	1
121.7825	5	1	Covert Right	1	1	1
139.85125	5	1	Covert Right	1	1	1
159.00375	5	1	Covert Right	1	1	1
178.3225	5	1	Covert Left	1	1	1
195.80625	5	1	Covert Left	1	1	1
215.1925	5	1	Covert Left	1	1	1
234.0775	5	1	Covert Left	1	1	1
252.79625	5	1	Covert Right	1	0	0
271.765	5	1	Covert Left	1	1	1
290.86875	5	1	Covert Left	1	1	1
308.82	5	1	Covert Left	1	1	1
329.69	5	1	Covert Left	1	1	1
348.075	5	1	Covert Left	1	1	1
366.7775	5	1	Covert Right	0	1	0
386.5125	5	1	Covert Left	1	1	1
406.18375	5	1	Covert Left	1	1	1
423.8175	5	1	Covert Left	1	1	1
443.50375	5	1	Covert Right	1	1	1
463.39	5	1	Covert Left	1	1	1
482.51	5	1	Covert Right	1	1	1
501.67875	5	1	Covert Right	1	1	1
518.98	5	1	Covert Right	1	1	1
543.8875	5	1	Covert Left	1	1	1
562.18875	5	1	Covert Right	1	1	1
581.475	5	1	Covert Right	1	1	1
