onset	duration	value	trial_type	response_correct	gaze_ok	include
27.18875	5	1	Control Left	n/a	1	1
44.00375	5	1	Control Left	n/a	1	1
62.02125	5	1	Control Left	n/a	1	1
80.405	5	1	Control Left	n/a	1	1
98.37125	5	1	Control Left	n/a	1	1
115.61125	5	1	Control Right	n/a	1	1
133.885	5	1	Control Left	n/a	1	1
151.15375	5	1	Control Left	n/a	1	1
168.26	5	1	Control Left	n/a	1	1
186.0725	5	1	Control Left	n/a	1	1
203.31125	5	1	Control Left	n/a	1	1
219.9475	5	1	Control Right	n/a	1	1
236.5575	5	1	Control Left	n/a	1	1
254.20625	5	1	Control Right	n/a	1	1
271.04375	5	1	Control Left	n/a	1	1
287.915	5	1	Control Left	n/a	1	1
304.895	5	1	Control Right	n/a	1	1
321.3875	5	1	Control Left	n/a	1	1
339.6025	5	1	Control Right	n/a	1	1
357.69375	5	1	Control Right	n/a	1	1
