onset	duration	value	trial_type	response_correct	gaze_ok	include
34.19375	5	1	Overtcontrol Left	1	1	1
69.2975	5	1	Overtcontrol Left	1	1	1
104.28	5	1	Overtcontrol Right	1	1	1
140.61625	5	1	Overtcontrol Right	1	0	0
177.3975	5	1	Overtcontrol Right	1	1	1
214.04375	5	1	Overtcontrol Left	1	1	1
251.58125	5	1	Overtcontrol Left	1	1	1
289.53875	5	1	Overtcontrol Left	1	1	1
323.2075	5	1	Overtcontrol Right	1	1	1
359.76125	5	1	Overtcontrol Left	1	1	1
399.90125	5	1	Overtcontrol Left	1	1	1
439.12875	5	1	Overtcontrol Left	1	1	1
473.34875	5	1	Overtcontrol Left	1	1	1
510.97125	5	1	Overtcontrol Left	1	1	1
548.38125	5	1	Overtcontrol Right	1	1	1
584.6725	5	1	Overtcontrol Right	1	1	1
621.10125	5	1	Overtcontrol Left	1	1	1
655.98875	5	1	Overtcontrol Right	1	1	1
691.61375	5	1	Overtcontrol Right	1	1	1
728.57125	5	1	Overtcontrol Left	1	1	1
