onset	duration	value	trial_type	response_correct	gaze_ok	include
31.035	5	1	Overtcontrol Right	1	1	1
66.84125	5	1	Overtcontrol Right	1	1	1
103.69	5	1	Overtcontrol Left	1	1	1
139.41625	5	1	Overtcontrol Left	1	1	1
176.1175	5	1	Overtcontrol Right	1	1	1
210.5125	5	1	Overtcontrol Right	1	1	1
248.16625	5	1	Overtcontrol Left	1	1	1
286.37125	5	1	Overtcontrol Right	1	1	1
321.895	5	1	Overtcontrol Left	1	1	1
360.005	5	1	Overtcontrol Left	1	1	1
396.18375	5	1	Overtcontrol Right	1	1	1
431.2275	5	1	Overtcontrol Right	1	1	1
469.12625	5	1	Overtcontrol Left	1	1	1
504.7875	5	1	Overtcontrol Right	1	1	1
541.96125	5	1	Overtcontrol Right	1	1	1
580.1325	5	1	Overtcontrol Right	1	1	1
616.29	5	1	Overtcontrol Left	1	1	1
653.02125	5	1	Overtcontrol Left	1	1	1
689.54125	5	1	Overtcontrol Left	1	1	1
725.20875	5	1	Overtcontrol Left	1	1	1
