onset	duration	value	trial_type	response_correct	gaze_ok	include
15.0	5	1	Overt Right	1	1	1
33.51875	5	1	Overt Right	1	1	1
53.5425	5	1	Overt Right	1	1	1
73.72625	5	1	Overt Left	1	1	1
94.2625	5	1	Overt Right	1	1	1
112.83125	5	1	Overt Left	1	1	1
131.85125	5	1	Overt Left	1	1	1
150.97	5	1	Overt Left	1	1	1
171.66125	5	1	Overt Right	1	1	1
192.345	5	1	Overt Right	1	1	1
212.2175	5	1	Overt Right	1	1	1
230.7839347	5	1	Overt Left	1	1	1
251.1206391	5	1	Overt Right	1	1	1
271.240859	5	1	Overt Right	1	1	1
290.8103796	5	1	Overt Left	1	1	1
308.7449553	5	1	Overt Left	1	1	1
330.0225	5	1	Overt Left	1	1	1
349.5529987	5	1	Overt Right	1	1	1
368.9553926	5	1	Overt Left	1	1	1
389.025609	5	1	Overt Left	1	1	1
409.6125408	5	1	Overt Left	1	1	1
430.2835374	5	1	Overt Right	1	1	1
451.6047339	5	1	Overt Right	1	1	1
470.9411436	5	1	Overt Left	1	1	1
489.7763877	5	1	Overt Right	1	1	1
509.7798268	5	1	Overt Left	1	1	1
528.08	5	1	Overt Left	1	1	1
548.7521555	5	1	Overt Left	1	1	1
569.2726855	5	1	Overt Right	1	1	1
589.54	5	1	Overt Left	1	1	1
