onset	duration	value	trial_type	response_correct	gaze_ok	include
23.1525	5	1	Control Left	n/a	1	1
41.57125	5	1	Control Right	n/a	1	1
58.25875	5	1	Control Left	n/a	1	1
75.9425	5	1	Control Left	n/a	1	1
94.08125	5	1	Control Right	n/a	1	1
112.4325	5	1	Control Right	n/a	1	1
129.98375	5	1	Control Left	n/a	1	1
147.01	5	1	Control Right	n/a	1	1
164.24875	5	1	Control Right	n/a	1	1
182.33	5	1	Control Right	n/a	1	1
199.01875	5	1	Control Right	n/a	1	1
215.54875	5	1	Control Left	n/a	1	1
233.60125	5	1	Control Right	n/a	1	1
252.025	5	1	Control Left	n/a	1	1
270.19875	5	1	Control Left	n/a	1	1
287.765	5	1	Control Left	n/a	1	1
305.54	5	1	Control Left	n/a	1	1
323.2375	5	1	Control Right	n/a	1	1
340.1175	5	1	Control Right	n/a	1	1
357.475	5	1	Control Right	n/a	1	1
