onset	duration	value	trial_type
125.205	10	1	Overt Right
143.665	10	1	Overt Right
179.92625	10	1	Overt Left
198.95875	10	1	Overt Left
216.76375	10	1	Overt Left
233.77625	10	1	Overt Left
252.245	10	1	Overt Right
270.9125	10	1	Overt Right
287.77125	10	1	Overt Right
306.48625	10	1	Overt Right
324.81625	10	1	Overt Left
343.835	10	1	Overt Right
363.8775	10	1	Overt Left
381.1725	10	1	Overt Left
400.30875	10	1	Overt Left
417.75875	10	1	Overt Left
436.84625	10	1	Overt Left
454.5475	10	1	Overt Right
473.95	10	1	Overt Left
491.68375	10	1	Overt Right
509.2175	10	1	Overt Left
527.9025	10	1	Overt Left
