onset	duration	value	trial_type
18.885	10	1	Covert Right
39.055	10	1	Covert Left
58.69	10	1	Covert Left
77.8775	10	1	Covert Left
96.82875	10	1	Covert Right
117.58375	10	1	Covert Right
137.41875	10	1	Covert Left
155.98875	10	1	Covert Left
176.69125	10	1	Covert Left
195.77875	10	1	Covert Left
216.23125	10	1	Covert Right
235.40125	10	1	Covert Right
255.9375	10	1	Covert Right
276.525	10	1	Covert Left
295.795	10	1	Covert Left
317.1825	10	1	Covert Right
336.08375	10	1	Covert Right
356.0375	10	1	Covert Right
374.7575	10	1	Covert Right
396.66125	10	1	Covert Left
416.98125	10	1	Covert Right
437.31875	10	1	Covert Right
456.4875	10	1	Covert Left
476.475	10	1	Covert Right
495.54375	10	1	Covert Right
514.54625	10	1	Covert Left
535.4	10	1	Covert Left
553.9525	10	1	Covert Left
573.83875	10	1	Covert Right
595.17625	10	1	Covert Left
