onset	duration	amplitude	trial_type
17.25875	10	1	Control Right
35.12125	10	1	Control Right
52.5725	10	1	Control Right
69.07125	10	1	Control Left
86.125	10	1	Control Right
103.15375	10	1	Control Right
120.2875	10	1	Control Left
137.08625	10	1	Control Right
154.99125	10	1	Control Right
172.05625	10	1	Control Left
190.02625	10	1	Control Left
207.74	10	1	Control Right
225.53	10	1	Control Right
243.13625	10	1	Control Right
261.16875	10	1	Control Right
278.67125	10	1	Control Right
295.345	10	1	Control Left
313.5775	10	1	Control Left
330.545	10	1	Control Right
348.41	10	1	Control Left
