onset	duration	value	trial_type	response_correct	gaze_ok	include
26.70125	5	1	Covert Right	1	1	1
45.03	5	1	Covert Left	1	1	1
63.96625	5	1	Covert Left	1	1	1
83.285	5	1	Covert Left	1	1	1
101.37	5	1	Covert Right	1	1	1
119.73875	5	1	Covert Right	1	1	1
137.8725	5	1	Covert Right	1	1	1
156.4075	5	1	Covert Right	1	1	1
175.19375	5	1	Covert Right	1	1	1
194.6125	5	1	Covert Right	1	1	1
213.78125	5	1	Covert Right	1	1	1
232.85125	5	1	Covert Left	1	1	1
251.1025	5	1	Covert Right	1	1	1
270.405	5	1	Covert Right	1	1	1
289.00625	5	1	Covert Left	1	1	1
308.11	5	1	Covert Right	1	1	1
326.09375	5	1	Covert Right	1	1	1
345.49625	5	1	Covert Right	1	1	1
363.0975	5	1	Covert Right	1	1	1
380.665	5	1	Covert Right	1	1	1
399.75	5	1	Covert Left	1	1	1
418.81875	5	1	Covert Left	1	1	1
437.155	5	1	Covert Left	1	1	1
454.655	5	1	Covert Right	1	1	1
473.00625	5	1	Covert Right	1	1	1
491.025	5	1	Covert Left	1	1	1
508.62625	5	1	Covert Right	1	1	1
527.9275	5	1	Covert Right	1	1	1
545.74625	5	1	Covert Right	1	1	1
563.565	5	1	Covert Right	1	1	1
