onset	duration	value	trial_type	response_correct	gaze_ok	include
19.085	5	1	Overt Right	1	1	1
39.66	5	1	Overt Left	1	1	1
60.68	5	1	Overt Left	1	1	1
81.4175	5	1	Overt Right	1	1	1
100.25375	5	1	Overt Left	1	1	1
120.37375	5	1	Overt Left	1	1	1
142.17375	5	1	Overt Right	1	1	1
163.48625	5	1	Overt Right	1	1	1
182.50375	5	1	Overt Left	1	1	1
203.09	5	1	Overt Left	1	1	1
222.1	5	1	Overt Left	1	1	1
241.055	5	1	Overt Right	1	1	1
261.27625	5	1	Overt Right	1	1	1
281.94	5	1	Overt Right	1	1	1
301.8575	5	1	Overt Right	1	1	1
321.21	5	1	Overt Right	1	1	1
341.35875	5	1	Overt Right	1	1	1
361.27625	5	1	Overt Left	1	1	1
379.14625	5	1	Overt Left	1	1	1
399.08375	5	1	Overt Right	1	1	1
417.94125	5	1	Overt Right	1	1	1
438.195	5	1	Overt Left	1	1	1
457.825	5	1	Overt Right	1	1	1
477.65375	5	1	Overt Left	1	1	1
499.72375	5	1	Overt Left	1	1	1
519.06	5	1	Overt Right	1	1	1
540.16875	5	1	Overt Right	1	1	1
560.4525	5	1	Overt Right	1	1	1
579.2375	5	1	Overt Right	1	1	1
598.59375	5	1	Overt Right	1	1	1
