onset	duration	value	trial_type	response_correct	gaze_ok	include
20.0675	5	1	Covert Right	1	n/a	1
39.44625	5	1	Covert Left	1	n/a	1
60.53375	5	1	Covert Left	1	n/a	1
79.48625	5	1	Covert Right	1	n/a	1
100.84	5	1	Covert Right	1	n/a	1
120.66	5	1	Covert Right	1	n/a	1
138.97875	5	1	Covert Right	1	n/a	1
160.61625	5	1	Covert Left	1	n/a	1
180.95375	5	1	Covert Right	1	n/a	1
200.74	5	1	Covert Left	1	n/a	1
220.7275	5	1	Covert Right	1	n/a	1
241.43125	5	1	Covert Right	1	n/a	1
260.33375	5	1	Covert Right	1	n/a	1
280.06875	5	1	Covert Right	1	n/a	1
298.455	5	1	Covert Right	1	n/a	1
317.69	5	1	Covert Right	1	n/a	1
338.3775	5	1	Covert Left	1	n/a	1
358.88125	5	1	Covert Right	1	n/a	1
376.5825	5	1	Covert Right	1	n/a	1
396.31875	5	1	Covert Right	1	n/a	1
415.48875	5	1	Covert Left	1	n/a	1
433.82375	5	1	Covert Left	1	n/a	1
456.77875	5	1	Covert Left	1	n/a	1
476.04875	5	1	Covert Left	1	n/a	1
497.32	5	1	Covert Right	1	n/a	1
521.91125	5	1	Covert Left	1	n/a	1
541.11375	5	1	Covert Right	1	n/a	1
562.7675	5	1	Covert Right	1	n/a	1
581.7375	5	1	Covert Right	1	n/a	1
601.82375	5	1	Covert Right	1	n/a	1
