onset	duration	value	trial_type	response_correct	gaze_ok	include
18.05625	5	1	Overt Left	1	1	1
37.825	5	1	Overt Left	1	1	1
57.67875	5	1	Overt Right	1	1	1
76.41375	5	1	Overt Right	1	1	1
95.10125	5	1	Overt Right	1	1	1
114.93875	5	1	Overt Right	1	1	1
135.5575	5	1	Overt Right	1	1	1
153.215	5	1	Overt Left	1	1	1
172.3025	5	1	Overt Left	1	1	1
190.77875	5	1	Overt Left	1	1	1
210.55	5	1	Overt Left	1	1	1
230.9875	5	1	Overt Right	1	1	1
251.37375	5	1	Overt Left	1	1	1
271.81	5	1	Overt Right	1	1	1
292.065	5	1	Overt Left	1	1	1
310.6275	5	1	Overt Right	1	1	1
330.74625	5	1	Overt Left	1	1	1
351.0175	5	1	Overt Right	1	1	1
370.75	5	1	Overt Right	1	1	1
389.19625	5	1	Overt Left	1	1	1
407.585	5	1	Overt Right	1	1	1
426.4525	5	1	Overt Left	0	1	0
445.67125	5	1	Overt Right	1	1	1
464.19125	5	1	Overt Left	1	1	1
482.77375	5	1	Overt Left	0	1	0
502.8475	5	1	Overt Left	0	1	0
525.16875	5	1	Overt Right	1	1	1
545.7725	5	1	Overt Left	1	1	1
565.5075	5	1	Overt Right	1	1	1
584.51	5	1	Overt Left	1	1	1
