onset	duration	value	trial_type
20.2325	10	1	Control Left
38.0275	10	1	Control Right
55.77875	10	1	Control Right
74.155	10	1	Control Left
92.01625	10	1	Control Left
108.54	10	1	Control Left
125.5475	10	1	Control Left
142.9525	10	1	Control Right
159.41625	10	1	Control Left
176.27125	10	1	Control Left
193.30625	10	1	Control Left
209.795	10	1	Control Left
227.7325	10	1	Control Right
244.715	10	1	Control Right
261.26625	10	1	Control Right
278.64375	10	1	Control Left
296.96375	10	1	Control Left
314.38375	10	1	Control Left
332.0675	10	1	Control Left
348.77875	10	1	Control Left
