onset	duration	value	trial_type	response_correct	gaze_ok	include
21.4025	5	1	Control Left	n/a	1	1
38.70875	5	1	Control Right	n/a	1	1
56.955	5	1	Control Left	n/a	1	1
73.96875	5	1	Control Right	n/a	1	1
91.8225	5	1	Control Right	n/a	1	1
108.45	5	1	Control Right	n/a	1	1
126.27625	5	1	Control Left	n/a	1	1
142.765	5	1	Control Right	n/a	1	1
159.545	5	1	Control Right	n/a	1	1
176.59875	5	1	Control Left	n/a	1	1
193.76875	5	1	Control Right	n/a	1	1
211.18625	5	1	Control Left	n/a	1	1
228.53	5	1	Control Left	n/a	1	1
246.29625	5	1	Control Left	n/a	1	1
263.22125	5	1	Control Left	n/a	1	1
279.69875	5	1	Control Right	n/a	1	1
296.58	5	1	Control Right	n/a	1	1
313.48625	5	1	Control Left	n/a	1	1
330.2425	5	1	Control Right	n/a	1	1
347.28625	5	1	Control Right	n/a	1	1
