onset	duration	value	trial_type	response_correct	gaze_ok	include
31.65875	5	1	Overt Left	1	1	1
52.23	5	1	Overt Left	1	1	1
73.48375	5	1	Overt Left	1	1	1
93.12	5	1	Overt Right	1	1	1
112.94	5	1	Overt Left	1	1	1
133.22875	5	1	Overt Right	1	1	1
153.615	5	1	Overt Right	1	1	1
173.5175	5	1	Overt Left	1	1	1
191.83625	5	1	Overt Right	1	1	1
209.97125	5	1	Overt Right	1	1	1
229.85625	5	1	Overt Left	0	1	0
250.545	5	1	Overt Left	1	1	1
270.64875	5	1	Overt Left	1	1	1
288.6325	5	1	Overt Right	1	1	1
307.985	5	1	Overt Left	1	1	1
327.4375	5	1	Overt Left	1	1	1
347.02375	5	1	Overt Right	1	1	1
366.06	5	1	Overt Left	1	1	1
384.56125	5	1	Overt Left	1	1	1
405.16625	5	1	Overt Right	1	1	1
426.13625	5	1	Overt Left	1	0	0
448.35875	5	1	Overt Left	1	1	1
468.6125	5	1	Overt Left	1	1	1
488.61625	5	1	Overt Left	1	1	1
507.55125	5	1	Overt Right	1	1	1
527.8225	5	1	Overt Right	1	1	1
546.9075	5	1	Overt Left	1	1	1
567.39375	5	1	Overt Left	1	1	1
587.165	5	1	Overt Left	1	1	1
606.68375	5	1	Overt Left	1	1	1
