onset	duration	value	trial_type	response_correct	gaze_ok	include
16.87375	5	1	Overt Right	1	1	1
37.04375	5	1	Overt Left	1	1	1
56.41375	5	1	Overt Right	1	1	1
74.79875	5	1	Overt Left	1	1	1
94.45125	5	1	Overt Right	1	1	1
114.42	5	1	Overt Left	1	1	1
133.895	5	1	Overt Left	1	1	1
154.26	5	1	Overt Left	1	1	1
173.1125	5	1	Overt Left	1	1	1
192.96625	5	1	Overt Left	1	1	1
212.235	5	1	Overt Right	1	1	1
231.15375	5	1	Overt Right	1	1	1
249.27125	5	1	Overt Right	1	1	1
270.025	5	1	Overt Right	1	1	1
288.34375	5	1	Overt Left	1	1	1
308.0975	5	1	Overt Right	1	1	1
327.6	5	1	Overt Left	1	1	1
346.3525	5	1	Overt Left	1	1	1
365.92125	5	1	Overt Right	1	1	1
385.19	5	1	Overt Left	1	1	1
407.53	5	1	Overt Left	1	1	1
427.1325	5	1	Overt Left	1	1	1
447.97	5	1	Overt Left	1	1	1
467.27375	5	1	Overt Right	1	1	1
487.5425	5	1	Overt Left	1	1	1
506.295	5	1	Overt Left	1	1	1
525.51375	5	1	Overt Left	1	1	1
545.40125	5	1	Overt Right	1	1	1
564.08625	5	1	Overt Right	1	1	1
583.8725	5	1	Overt Right	1	1	1
