onset	duration	value	trial_type	response_correct	gaze_ok	include
32.93375	5	1	Overtcontrol Right	1	0	0
68.94625	5	1	Overtcontrol Left	1	1	1
104.905	5	1	Overtcontrol Right	1	1	1
140.7925	5	1	Overtcontrol Left	0	1	0
178.55125	5	1	Overtcontrol Left	1	1	1
214.52	5	1	Overtcontrol Left	1	1	1
250.81375	5	1	Overtcontrol Right	1	1	1
286.1	5	1	Overtcontrol Right	1	1	1
320.6725	5	1	Overtcontrol Left	1	1	1
357.995	5	1	Overtcontrol Right	1	1	1
394.43	5	1	Overtcontrol Right	1	1	1
430.8875	5	1	Overtcontrol Right	1	1	1
466.48375	5	1	Overtcontrol Left	1	1	1
502.3125	5	1	Overtcontrol Left	1	1	1
539.7975	5	1	Overtcontrol Right	1	1	1
576.3775	5	1	Overtcontrol Right	1	1	1
613.66875	5	1	Overtcontrol Right	1	1	1
650.44	5	1	Overtcontrol Right	1	1	1
687.68375	5	1	Overtcontrol Right	1	1	1
723.67625	5	1	Overtcontrol Right	1	1	1
