onset	duration	value	trial_type	response_correct	gaze_ok	include
34.66875	5	1	Overtcontrol Left	1	1	1
70.9425	5	1	Overtcontrol Right	1	1	1
107.16125	5	1	Overtcontrol Right	1	1	1
142.1475	5	1	Overtcontrol Left	1	1	1
178.99	5	1	Overtcontrol Right	1	1	1
215.18125	5	1	Overtcontrol Right	1	1	1
250.77875	5	1	Overtcontrol Right	1	1	1
286.35	5	1	Overtcontrol Right	1	1	1
322.91625	5	1	Overtcontrol Left	1	1	1
360.48875	5	1	Overtcontrol Right	1	0	0
396.03375	5	1	Overtcontrol Left	1	1	1
431.41875	5	1	Overtcontrol Right	1	1	1
468.11	5	1	Overtcontrol Right	1	1	1
505.53375	5	1	Overtcontrol Left	1	1	1
542.08875	5	1	Overtcontrol Right	1	1	1
577.80875	5	1	Overtcontrol Right	1	1	1
613.3375	5	1	Overtcontrol Left	1	1	1
649.10625	5	1	Overtcontrol Left	1	1	1
685.19375	5	1	Overtcontrol Left	1	1	1
721.4225	5	1	Overtcontrol Right	1	1	1
