onset	duration	value	trial_type
16.67875	10	1	Covert Left
35.42375	10	1	Covert Right
54.71	10	1	Covert Left
75.585	10	1	Covert Right
94.6375	10	1	Covert Left
114.47	10	1	Covert Left
136.725	10	1	Covert Left
154.4425	10	1	Covert Right
174.5125	10	1	Covert Left
193.03125	10	1	Covert Right
212.11625	10	1	Covert Right
230.71875	10	1	Covert Right
268.96875	10	1	Covert Right
286.99125	10	1	Covert Left
306.7275	10	1	Covert Right
324.92875	10	1	Covert Right
345.81625	10	1	Covert Right
421.25375	10	1	Covert Right
438.65875	10	1	Covert Right
458.17875	10	1	Covert Left
477.26375	10	1	Covert Left
495.115	10	1	Covert Left
514.33375	10	1	Covert Right
533.23625	10	1	Covert Left
552.405	10	1	Covert Right
572.07375	10	1	Covert Right
