onset	duration	value	trial_type	response_correct	gaze_ok	include
28.5775	5	1	overtorient Left	1	1	1
63.395	5	1	overtorient Left	1	1	1
100.91625	5	1	overtorient Right	1	1	1
135.9175	5	1	overtorient Right	1	1	1
173.805	5	1	overtorient Right	1	1	1
210.45875	5	1	overtorient Right	1	1	1
246.95	5	1	overtorient Left	1	1	1
284.26625	5	1	overtorient Left	1	1	1
317.74875	5	1	overtorient Left	1	1	1
355.23625	5	1	overtorient Right	1	1	1
391.57375	5	1	overtorient Left	1	1	1
428.16	5	1	overtorient Right	1	1	1
464.39625	5	1	overtorient Right	1	1	1
498.7475	5	1	overtorient Right	1	1	1
534.0	5	1	overtorient Left	1	1	1
569.68375	5	1	overtorient Left	1	1	1
604.65375	5	1	overtorient Right	1	1	1
641.9725	5	1	overtorient Left	1	1	1
679.0275	5	1	overtorient Left	1	1	1
714.6125	5	1	overtorient Left	1	1	1
